,conta,duração,historico,motivo,quantia,poupança,emprego,pagador
0,negativo,6,já atrasou pagamentos,radio/televisão,1169,nao,> 7 anos,bom
1,positivo,48,pagamento em dia,radio/televisão,5951,ate 1000,1-4 anos,mau
2,sem conta,12,já atrasou pagamentos,educação,2096,ate 1000,4-7 anos,bom
3,negativo,42,pagamento em dia,móveis,7882,ate 1000,4-7 anos,bom
4,negativo,24,já atrasou pagamentos,carro novo,4870,ate 1000,1-4 anos,mau
5,sem conta,36,pagamento em dia,educação,9055,nao,1-4 anos,bom
6,sem conta,24,pagamento em dia,móveis,2835,ate 1000,> 7 anos,bom
7,positivo,36,pagamento em dia,carro usado,6948,ate 1000,1-4 anos,bom
8,sem conta,12,pagamento em dia,radio/televisão,3059,>1000,4-7 anos,bom
9,positivo,30,já atrasou pagamentos,carro novo,5234,ate 1000,desempregado,mau
10,positivo,12,pagamento em dia,carro novo,1295,ate 1000,1-4 anos,mau
11,negativo,48,pagamento em dia,negócios,4308,ate 1000,1-4 anos,mau
12,positivo,12,pagamento em dia,radio/televisão,1567,ate 1000,1-4 anos,bom
13,negativo,24,já atrasou pagamentos,carro novo,1199,ate 1000,> 7 anos,mau
14,negativo,15,pagamento em dia,carro novo,1403,ate 1000,1-4 anos,bom
15,negativo,24,pagamento em dia,radio/televisão,1282,nao,1-4 anos,mau
16,sem conta,24,já atrasou pagamentos,radio/televisão,2424,nao,> 7 anos,bom
17,negativo,30,pagamento em dia,negócios,8072,nao,1-4 anos,bom
18,positivo,24,pagamento em dia,carro usado,12579,ate 1000,> 7 anos,mau
19,sem conta,24,pagamento em dia,radio/televisão,3430,ate 1000,> 7 anos,bom
20,sem conta,9,já atrasou pagamentos,carro novo,2134,ate 1000,1-4 anos,bom
21,negativo,6,pagamento em dia,radio/televisão,2647,ate 1000,1-4 anos,bom
22,negativo,10,já atrasou pagamentos,carro novo,2241,ate 1000,1-4 anos,bom
23,positivo,12,já atrasou pagamentos,carro usado,1804,nao,1-4 anos,bom
24,sem conta,10,já atrasou pagamentos,móveis,2069,nao,1-4 anos,bom
25,negativo,6,pagamento em dia,móveis,1374,ate 1000,1-4 anos,bom
26,sem conta,6,pagamento em dia,radio/televisão,426,ate 1000,> 7 anos,bom
27,positivo,12,pagamento em dia,radio/televisão,409,>1000,1-4 anos,bom
28,positivo,7,pagamento em dia,radio/televisão,2415,ate 1000,1-4 anos,bom
29,negativo,60,já atrasou pagamentos,negócios,6836,ate 1000,> 7 anos,mau
30,positivo,18,pagamento em dia,negócios,1913,>1000,1-4 anos,bom
31,negativo,24,pagamento em dia,móveis,4020,ate 1000,1-4 anos,bom
32,positivo,18,pagamento em dia,carro novo,5866,nao,1-4 anos,bom
33,sem conta,12,já atrasou pagamentos,negócios,1264,nao,> 7 anos,bom
34,positivo,12,pagamento em dia,móveis,1474,ate 1000,1-4 anos,bom
35,positivo,45,já atrasou pagamentos,radio/televisão,4746,ate 1000,1-4 anos,mau
36,sem conta,48,já atrasou pagamentos,educação,6110,ate 1000,1-4 anos,bom
37,positivo,18,pagamento em dia,radio/televisão,2100,ate 1000,1-4 anos,mau
38,positivo,10,pagamento em dia,itens de casa,1225,ate 1000,1-4 anos,bom
39,positivo,9,pagamento em dia,radio/televisão,458,ate 1000,1-4 anos,bom
40,sem conta,30,pagamento em dia,radio/televisão,2333,ate 1000,> 7 anos,bom
41,positivo,12,pagamento em dia,radio/televisão,1158,ate 1000,1-4 anos,bom
42,positivo,18,já atrasou pagamentos,reparos,6204,ate 1000,1-4 anos,bom
43,negativo,30,já atrasou pagamentos,carro usado,6187,nao,4-7 anos,bom
44,negativo,48,já atrasou pagamentos,carro usado,6143,ate 1000,> 7 anos,mau
45,sem conta,11,já atrasou pagamentos,carro novo,1393,ate 1000,1-4 anos,bom
46,sem conta,36,pagamento em dia,radio/televisão,2299,ate 1000,> 7 anos,bom
47,negativo,6,pagamento em dia,carro usado,1352,ate 1000,desempregado,bom
